# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000000 0.000000
54 1.308000 0.000000 0.000000
55 1.332000 0.000000 0.000000
56 1.356000 0.000000 0.000000
57 1.380000 0.000000 0.000000
58 1.404000 0.000000 0.000000
59 1.428000 0.000000 0.000000
60 1.452000 0.000000 0.000000
61 1.476000 0.000000 0.000000
62 1.500000 0.000000 0.000000
63 1.524000 0.000000 0.000000
64 1.548000 0.000000 0.000000
65 1.572000 0.000000 0.000000
66 1.596000 0.000000 0.000000
67 1.620000 0.000000 0.000000
68 1.644000 0.000000 0.000000
69 1.668000 0.000000 0.000000
70 1.692000 0.000000 0.000000
71 1.716000 0.000000 0.000000
72 1.740000 0.000000 0.000000
73 1.764000 0.000000 0.000000
74 1.788000 0.000000 0.000000
75 1.812000 0.000000 0.000000
76 1.836000 0.000000 0.000000
77 1.860000 0.000000 0.000000
78 1.884000 0.000000 0.000000
79 1.908000 0.000000 0.000000
80 1.932000 0.000000 0.000000
81 1.956000 0.000000 0.000000
82 1.980000 0.000000 0.000000
83 2.004000 0.000000 0.000000
84 2.028000 0.000000 0.000000
85 2.052000 0.000000 0.000000
86 2.076000 0.000000 0.000000
87 2.100000 0.000000 0.000000
88 2.124000 0.000000 0.000000
89 2.148000 0.000000 0.000000
90 2.172000 0.000000 0.000000
91 2.196000 0.000000 0.000000
92 2.220000 0.000000 0.000000
93 2.244000 0.000000 0.000000
94 2.268000 0.000000 0.000000
95 2.292000 0.000000 0.000000
96 2.316000 0.000000 0.000000
97 2.340000 0.000000 0.000000
98 2.364000 0.000000 0.000000
99 2.388000 0.000000 0.000000
100 2.412000 0.000000 0.000000
101 2.436000 0.000000 0.000000
102 2.460000 0.000000 0.000000
103 2.484000 0.000000 0.000000
104 2.508000 0.000000 0.000000
105 2.532000 0.000000 0.000000
106 2.556000 0.000000 0.000000
107 2.580000 0.000000 0.000000
108 2.604000 0.000000 0.000000
109 2.628000 0.000000 0.000000
110 2.652000 0.000000 0.000000
111 2.676000 0.000000 0.000000
112 2.700000 0.000000 0.000000
113 2.724000 0.000000 0.000000
114 2.748000 0.000000 0.000000
115 2.772000 0.000000 0.000000
116 2.796000 0.000000 0.000000
117 2.820000 0.000000 0.000000
118 2.844000 0.000000 0.000000
119 2.868000 0.000000 0.000000
120 2.892000 0.000000 0.000000
121 2.916000 0.000000 0.000000
122 2.940000 0.000000 0.000000
123 2.964000 0.000000 0.000000
124 2.988000 0.000000 0.000000
125 3.012000 0.000000 0.000000
126 3.036000 0.000000 0.000000
127 3.060000 0.000000 0.000000
128 3.084000 0.000000 0.000000
129 3.108000 0.000000 0.000000
130 3.132000 0.000000 0.000000
131 3.156000 0.001057 0.000800
132 3.180000 0.000000 0.000000
133 3.204000 0.003076 0.002400
134 3.228000 0.008081 0.006400
135 3.252000 0.007465 0.006000
136 3.276000 0.012260 0.010000
137 3.300000 0.021265 0.017600
138 3.324000 0.039060 0.032800
139 3.348000 0.033806 0.028800
140 3.372000 0.063877 0.055200
141 3.396000 0.098573 0.086400
142 3.420000 0.095394 0.084800
143 3.444000 0.141991 0.128000
144 3.468000 0.194296 0.177600
145 3.492000 0.220983 0.204800
146 3.516000 0.252462 0.237200
147 3.540000 0.292728 0.278800
148 3.564000 0.331062 0.319600
149 3.588000 0.373663 0.365600
150 3.612000 0.440923 0.437200
151 3.636000 0.525888 0.528400
152 3.660000 0.529622 0.539200
153 3.684000 0.616202 0.635600
154 3.708000 0.623180 0.651200
155 3.732000 0.733467 0.776400
156 3.756000 0.733450 0.786400
157 3.780000 0.741110 0.804800
158 3.804000 0.824898 0.907200
159 3.828000 0.916590 1.020800
160 3.852000 0.917619 1.034800
161 3.876000 0.919953 1.050400
162 3.900000 0.975448 1.127600
163 3.924000 0.988846 1.157200
164 3.948000 1.042705 1.235200
165 3.972000 1.105535 1.325600
166 3.996000 1.056698 1.282400
167 4.020000 1.116744 1.371600
168 4.044000 1.167571 1.451200
169 4.068000 1.115989 1.403600
170 4.092000 1.160771 1.477200
171 4.116000 1.182378 1.522400
172 4.140000 1.219069 1.588000
173 4.164000 1.168935 1.540400
174 4.188000 1.228793 1.638000
175 4.212000 1.221950 1.647600
176 4.236000 1.268271 1.729600
177 4.260000 1.240390 1.710800
178 4.284000 1.253488 1.748400
179 4.308000 1.265651 1.785200
180 4.332000 1.272139 1.814400
181 4.356000 1.250948 1.804000
182 4.380000 1.276507 1.861200
183 4.404000 1.270230 1.872400
184 4.428000 1.295688 1.930800
185 4.452000 1.304327 1.964800
186 4.476000 1.322951 2.014400
187 4.500000 1.317454 2.027600
188 4.524000 1.318428 2.050800
189 4.548000 1.293100 2.032800
190 4.572000 1.354843 2.152400
191 4.596000 1.365148 2.191600
192 4.620000 1.333001 2.162400
